=== AT Log start ===
file: /logs/atlog_20251223_074541.txt
[2025/12/23,07:45:41+36] RUN START
[2025/12/23,07:45:41+36] CMD: AT+CREG=0
[2025/12/23,07:45:41+36] RSP: AT+CREG=0
[2025/12/23,07:45:41+36] CMD: AT+CEREG=2
[2025/12/23,07:45:41+36] RSP: OK
[2025/12/23,07:45:41+36] RSP: AT+CEREG=2
[2025/12/23,07:45:41+36] CMD: AT%TRSHCMD="BSPFILE","TECHSEL","1"
[2025/12/23,07:45:41+36] RSP: OK
[2025/12/23,07:45:41+36] RSP: AT%TRSHCMD="BSPFILE","TECHSEL","1"
[2025/12/23,07:45:41+36] CMD: AT%SETCFG="BAND","8"
[2025/12/23,07:45:41+36] RSP: OK
[2025/12/23,07:45:41+36] RSP: AT%SETCFG="BAND","8"
[2025/12/23,07:45:41+36] CMD: AT%TRSHCMD="BSPFILE","TECHSEL","0"
[2025/12/23,07:45:41+36] RSP: OK
[2025/12/23,07:45:41+36] RSP: AT%TRSHCMD="BSPFILE","TECHSEL","0"
[2025/12/23,07:45:41+36] CMD: AT+CGATT=0
[2025/12/23,07:45:41+36] RSP: OK
[2025/12/23,07:45:41+36] RSP: AT+CGATT=0
[2025/12/23,07:45:41+36] CMD: AT+COPS=2
[2025/12/23,07:45:41+36] RSP: OK
[2025/12/23,07:45:41+36] RSP: +CEREG: 0
[2025/12/23,07:45:41+36] RSP: AT+COPS=2
[2025/12/23,07:45:41+36] RSP: OK
[2025/12/23,07:45:41+36] CMD: AT%NWOPER="SOFTBANK"
[2025/12/23,07:45:41+36] RSP: AT%NWOPER="SOFTBANK"
[2025/12/23,07:45:41+36] CMD: AT+CGDCONT=1,"IP","sakura"
[2025/12/23,07:45:41+36] RSP: OK
[2025/12/23,07:45:41+36] RSP: AT+CGDCONT=1,"IP","sakura"
[2025/12/23,07:45:41+36] CMD: AT+CGAUTH=1,0
[2025/12/23,07:45:41+36] RSP: OK
[2025/12/23,07:45:41+36] RSP: AT+CGAUTH=1,0
[2025/12/23,07:45:41+36] CMD: AT+CFUN=1
[2025/12/23,07:45:41+36] RSP: OK
[2025/12/23,07:45:41+36] RSP: AT+CFUN=1
[2025/12/23,07:45:41+36] CMD: AT+COPS=1,2,"44020"
[2025/12/23,07:45:41+36] RSP: OK
[2025/12/23,07:45:41+36] RSP: AT+COPS=1,2,"44020"
[2025/12/23,07:45:41+36] RSP: <EF><FF><EF>
[2025/12/23,07:45:41+36] RSP: <EE><DF><EE>?<7F>}<FF><FE><F3><FF>
[2025/12/23,07:45:41+36] RSP: <FF>{<DF><FF><7F><F7><FF>
[2025/12/23,07:45:41+36] RSP: <EF><9F><E2><FF><DF>g<FF>
[2025/12/23,07:45:41+36] RSP: <FF>
[2025/12/23,07:45:41+36] RSP: OK
[2025/12/23,07:45:41+36] RSP: +CEREG: 2
[2025/12/23,07:45:41+36] RSP: +CEREG: 5,"409F","030D695B",7
[2025/12/23,07:45:41+36] CMD: AT+COPS?
[2025/12/23,07:45:41+36] RSP: AT+COPS?
[2025/12/23,07:45:41+36] RSP: +COPS: 1,2,"44020",7
[2025/12/23,07:45:41+36] RSP: OK
[2025/12/23,07:45:41+36] CMD: AT%PDNSET=1,"sakura","IP", "NONE","","",
[2025/12/23,07:45:41+36] RSP: AT%PDNSET=1,"sakura","IP", "NONE","","",
[2025/12/23,07:45:41+36] CMD: AT%PINGCMD=0,"192.168.5.100",3
[2025/12/23,07:45:41+36] RSP: OK
[2025/12/23,07:45:41+36] RSP: AT%PINGCMD=0,"192.168.5.100",3
[2025/12/23,07:45:41+36] RSP: <FF><BF><FF>
[2025/12/23,07:45:41+36] RSP: <99><9F><A9><FF><F6><D8><BD><DD><D9><FE>;<FF><F0><C8>1.<12><D5><FD><9A><F9>
[2025/12/23,07:45:41+36] RSP: <EB><F7><F6><FE><B5><F6>{~O<FD><CF><ED><DD><EE><FF><D6><FF>w<FF>
[2025/12/23,07:45:41+36] RSP: <1A><BF><BD>Y<FE><EF>o<CB><FF><B7>}<D4><D8><FD>?<C3><9F><E3><17><CF><FB><FF><DF><BD><B3><FF>?<96><FD>_<FF><FF><FF><7F><B5><AB><FD><7F><87><F7><F1><C7><EF><96>w<EB><A7><DD><D7><FF><ED><FF><FF><FF><F7>n<EA><AE><F5><CB>g<EB><BC><FB><E7><FF><7F><FF><AC><BB><BD><FF>><EF>s}<F7><7F>
[2025/12/23,07:45:41+36] RSP: <FF>
[2025/12/23,07:45:41+36] RSP: <F9>Z<EA><D3><BB>(<AE><F8><EF>x<FA>
[2025/12/23,07:45:41+36] RSP: <FF>
[2025/12/23,07:45:41+36] RSP: <BA><F9>g<D5><D7><ED><E7>N<C3><E6><D5>
[2025/12/23,07:45:41+36] RSP: ><F7>\<BB><FE><8F><DF><F7>
[2025/12/23,07:45:41+36] RSP: <DC><D0><F7><FF><FF>><FB><D6>z{
