=== AT Log start ===
file: /logs/atlog_20251226_165345.txt
[2025/12/26,16:53:45+36] RUN START
[2025/12/26,16:53:45+36] CMD: AT+CREG=0
[2025/12/26,16:53:45+36] RSP: AT+CREG=0
[2025/12/26,16:53:45+36] CMD: AT+CEREG=2
[2025/12/26,16:53:45+36] RSP: OK
[2025/12/26,16:53:45+36] RSP: AT+CEREG=2
[2025/12/26,16:53:45+36] CMD: AT%TRSHCMD="BSPFILE","TECHSEL","1"
[2025/12/26,16:53:45+36] RSP: OK
[2025/12/26,16:53:45+36] RSP: AT%TRSHCMD="BSPFILE","TECHSEL","1"
[2025/12/26,16:53:45+36] CMD: AT%SETCFG="BAND","8"
[2025/12/26,16:53:45+36] RSP: OK
[2025/12/26,16:53:45+36] RSP: AT%SETCFG="BAND","8"
[2025/12/26,16:53:45+36] CMD: AT%TRSHCMD="BSPFILE","TECHSEL","0"
[2025/12/26,16:53:45+36] RSP: OK
[2025/12/26,16:53:45+36] RSP: AT%TRSHCMD="BSPFILE","TECHSEL","0"
[2025/12/26,16:53:45+36] CMD: AT+CGATT=0
[2025/12/26,16:53:45+36] RSP: OK
[2025/12/26,16:53:45+36] RSP: AT+CGATT=0
[2025/12/26,16:53:45+36] RSP: <FF><FF><FF>
[2025/12/26,16:53:45+36] RSP: <FF><FF><FF>?<FF><FB><DF><FF><FF><FF><FF><FF>_<FF><FF><BF><EB><FF><FF><FF>
[2025/12/26,16:53:45+36] CMD: AT+COPS=2
[2025/12/26,16:53:45+36] RSP: OK
[2025/12/26,16:53:45+36] RSP: +CEREG: 0
[2025/12/26,16:53:45+36] RSP: <FF><DF>AT+COPS=2
[2025/12/26,16:53:45+36] RSP: OK
[2025/12/26,16:53:45+36] CMD: AT%NWOPER="SOFTBANK"
[2025/12/26,16:53:45+36] RSP: AT%NWOPER="SOFTBANK"
[2025/12/26,16:53:45+36] CMD: AT+CGDCONT=1,"IP","sakura"
[2025/12/26,16:53:45+36] RSP: OK
[2025/12/26,16:53:45+36] RSP: AT+CGDCONT=1,"IP","sakura"
[2025/12/26,16:53:45+36] CMD: AT+CGAUTH=1,0
[2025/12/26,16:53:45+36] RSP: OK
[2025/12/26,16:53:45+36] RSP: AT+CGAUTH=1,0
[2025/12/26,16:53:45+36] CMD: AT+CFUN=1
[2025/12/26,16:53:45+36] RSP: OK
[2025/12/26,16:53:45+36] RSP: AT+CFUN=1
[2025/12/26,16:53:45+36] CMD: AT+COPS=1,2,"44020"
[2025/12/26,16:53:45+36] RSP: OK
[2025/12/26,16:53:45+36] RSP: AT+COPS=1,2,"44020"
[2025/12/26,16:53:45+36] RSP: w<FF><7F><FF>
[2025/12/26,16:53:45+36] RSP: <FD>}<BF><7F><FF><FF><FF>
[2025/12/26,16:53:45+36] RSP: <FF><FF><FF><FF><FF><FF><FF><FF><FF>
[2025/12/26,16:53:45+36] RSP: <FE><EF><FF><FF><FF><D5>
[2025/12/26,16:53:45+36] RSP: <FF><FF><FF><BF><F6>
[2025/12/26,16:53:45+36] RSP: <FF><FF><FF><FF><FF>
[2025/12/26,16:53:45+36] RSP: <EF><FB>
[2025/12/26,16:53:45+36] RSP: <DF><FF>
[2025/12/26,16:53:45+36] RSP: <FF>
[2025/12/26,16:53:45+36] RSP: OK
[2025/12/26,16:53:45+36] RSP: +CEREG: 2
[2025/12/26,16:53:45+36] RSP: +CEREG: 5,"409F","03917A0C",7
[2025/12/26,16:53:45+36] CMD: AT+COPS?
[2025/12/26,16:53:45+36] RSP: AT+COPS?
[2025/12/26,16:53:45+36] RSP: +COPS: 1,2,"44020",7
[2025/12/26,16:53:45+36] RSP: OK
[2025/12/26,16:53:45+36] CMD: AT%PDNSET=1,"sakura","IP", "NONE","","",
[2025/12/26,16:53:45+36] RSP: AT%PDNSET=1,"sakura","IP", "NONE","","",
[2025/12/26,16:53:45+36] CMD: AT%PINGCMD=0,"192.168.5.100",3
[2025/12/26,16:53:45+36] RSP: OK
[2025/12/26,16:53:45+36] RSP: AT%PINGCMD=0,"192.168.5.100",3
[2025/12/26,16:53:45+36] RSP: <FF><FF><FF>
[2025/12/26,16:53:45+36] RSP: <FD>}<FD><FD><7F><FF><FF><FF><FF><DF><FF><F7>
[2025/12/26,16:53:45+36] RSP: <FE><7F><EF><FF><FF><BF><FF><FF><FF><FF><EF><FF><FF><FD><FF><FE><BF><FF><FF><DF><EF><FF><FF><FF><FF><FF><FF><FF><FF><EF><FF><FF><FF><FF><DF><FF><FF>
[2025/12/26,16:53:45+36] RSP: <FF><FF>
[2025/12/26,16:53:45+36] RSP: <FF><FF><FF><FF><FF><BF><FF>
[2025/12/26,16:53:45+36] RSP: <EB><FD><FF><FF>
[2025/12/26,16:53:45+36] RSP: <FF><FF><FF>
[2025/12/26,16:53:45+36] RSP: %PINGCMD:1,"192.168.5.100",1397,64
[2025/12/26,16:53:45+36] RSP: %PINGCMD:2,"192.168.5.100",411,64
[2025/12/26,16:53:45+36] RSP: %PINGCMD:3,"192.168.5.100",403,64
[2025/12/26,16:53:45+36] RSP: OK
[2025/12/26,16:53:45+36] CMD: AT%PINGCMD=0,"8.8.8.8",3
[2025/12/26,16:53:45+36] RSP: AT%PINGCMD=0,"8.8.8.8",3
[2025/12/26,16:53:45+36] RSP: <FF><FF><FF><F7><FF><FF><FF><7F>
[2025/12/26,16:53:45+36] RSP: <FD><FD><AF><AD><FB><FF><FF><FF><DF><FF><FF><FF>
[2025/12/26,16:53:45+36] RSP: <FF><FF><F7><FF><FF><FF><FF><FF><FF>
[2025/12/26,16:53:45+36] RSP: <FB><7F><FD><FF><EF><EF>
[2025/12/26,16:53:45+36] RSP: <F9><FB><FF><FF><FE><FF><FF><FD>
